RecDate,watershed,ppt
1/23/2000,N4DU,.
1/23/2000,R01A,.
1/27/2000,002C,.
1/27/2000,004B,.
1/27/2000,020B,.
1/27/2000,HQ,0.30
1/27/2000,HQ02,0.00
1/27/2000,K01B,.
1/27/2000,N01B,.
1/27/2000,N02B,.
1/27/2000,N4DF,.
1/27/2000,N4DU,.
1/27/2000,R01A,.
1/28/2000,002C,.
1/28/2000,004B,.
1/28/2000,020B,.
1/28/2000,HQ,1.80
1/28/2000,HQ02,2.30
1/28/2000,K01B,.
1/28/2000,N01B,.
1/28/2000,N02B,.
1/28/2000,N4DF,.
1/28/2000,N4DU,.
1/28/2000,R01A,.
2/11/2000,002C,.
2/11/2000,004B,.
2/11/2000,020B,.
2/11/2000,HQ,0.20
2/11/2000,HQ02,0.10
2/11/2000,K01B,.
2/11/2000,N01B,.
2/11/2000,N02B,.
2/11/2000,N4DF,.
2/11/2000,N4DU,.
2/11/2000,R01A,.
2/13/2000,002C,.
2/13/2000,004B,.
2/13/2000,020B,.
2/13/2000,HQ,0.20
2/13/2000,HQ02,0.00
2/13/2000,K01B,.
2/13/2000,N01B,.
2/13/2000,N02B,.
2/13/2000,N4DF,.
2/13/2000,N4DU,.
2/13/2000,R01A,.
2/17/2000,002C,.
2/17/2000,004B,.
2/17/2000,020B,.
2/17/2000,HQ,11.50
2/17/2000,HQ02,12.50
2/17/2000,K01B,.
2/17/2000,N01B,.
2/17/2000,N02B,.
2/17/2000,N4DF,.
2/17/2000,N4DU,.
2/17/2000,R01A,.
2/18/2000,002C,.
2/18/2000,004B,.
2/18/2000,020B,.
2/18/2000,HQ,0.20
2/18/2000,HQ02,0.20
2/18/2000,K01B,.
2/18/2000,N01B,.
2/18/2000,N02B,.
2/18/2000,N4DF,.
2/18/2000,N4DU,.
2/18/2000,R01A,.
2/22/2000,002C,.
2/22/2000,004B,.
2/22/2000,020B,.
2/22/2000,HQ,9.80
2/22/2000,HQ02,10.30
2/22/2000,K01B,.
2/22/2000,N01B,.
2/22/2000,N02B,.
2/22/2000,N4DF,.
2/22/2000,N4DU,.
2/22/2000,R01A,.
2/23/2000,002C,.
2/23/2000,004B,.
2/23/2000,020B,.
2/23/2000,HQ,5.00
2/23/2000,HQ02,6.50
2/23/2000,K01B,.
2/23/2000,N01B,.
2/23/2000,N02B,.
2/23/2000,N4DF,.
2/23/2000,N4DU,.
2/23/2000,R01A,.
2/25/2000,002C,.
2/25/2000,004B,.
2/25/2000,020B,.
2/25/2000,HQ,.
2/25/2000,HQ02,21.20
2/25/2000,K01B,.
2/25/2000,N01B,.
2/25/2000,N02B,.
2/25/2000,N4DF,.
2/25/2000,N4DU,.
2/25/2000,R01A,.
3/2/2000,002C,.
3/2/2000,004B,.
3/2/2000,020B,.
3/2/2000,HQ,11.50
3/2/2000,HQ02,11.40
3/2/2000,K01B,.
3/2/2000,N01B,.
3/2/2000,N02B,.
3/2/2000,N4DF,.
3/2/2000,N4DU,.
3/2/2000,R01A,.
3/3/2000,002C,.
3/3/2000,004B,.
3/3/2000,020B,.
3/3/2000,HQ,10.70
3/3/2000,HQ02,12.00
3/3/2000,K01B,.
3/3/2000,N01B,.
3/3/2000,N02B,.
3/3/2000,N4DF,.
3/3/2000,N4DU,.
3/3/2000,R01A,.
3/7/2000,002C,.
3/7/2000,004B,.
3/7/2000,020B,.
3/7/2000,HQ,5.00
3/7/2000,HQ02,6.80
3/7/2000,K01B,.
3/7/2000,N01B,.
3/7/2000,N02B,.
3/7/2000,N4DF,.
3/7/2000,N4DU,.
3/7/2000,R01A,.
3/14/2000,002C,.
3/14/2000,004B,.
3/14/2000,020B,.
3/14/2000,HQ,2.00
3/14/2000,HQ02,1.70
3/14/2000,K01B,.
3/14/2000,N01B,.
3/14/2000,N02B,.
3/14/2000,N4DF,.
3/14/2000,N4DU,.
3/14/2000,R01A,.
3/15/2000,002C,.
3/15/2000,004B,.
3/15/2000,020B,.
3/15/2000,HQ,4.80
3/15/2000,HQ02,5.30
3/15/2000,K01B,.
3/15/2000,N01B,.
3/15/2000,N02B,.
3/15/2000,N4DF,.
3/15/2000,N4DU,.
3/15/2000,R01A,.
3/17/2000,002C,.
3/17/2000,004B,.
3/17/2000,020B,.
3/17/2000,HQ,0.20
3/17/2000,HQ02,0.30
3/17/2000,K01B,.
3/17/2000,N01B,.
3/17/2000,N02B,.
3/17/2000,N4DF,.
3/17/2000,N4DU,.
3/17/2000,R01A,.
3/18/2000,002C,.
3/18/2000,004B,.
3/18/2000,020B,.
3/18/2000,HQ,8.80
3/18/2000,HQ02,9.20
3/18/2000,K01B,.
3/18/2000,N01B,.
3/18/2000,N02B,.
3/18/2000,N4DF,.
3/18/2000,N4DU,.
3/18/2000,R01A,.
3/19/2000,002C,.
3/19/2000,004B,.
3/19/2000,020B,.
3/19/2000,HQ,1.60
3/19/2000,HQ02,1.80
3/19/2000,K01B,.
3/19/2000,N01B,.
3/19/2000,N02B,.
3/19/2000,N4DF,.
3/19/2000,N4DU,.
3/19/2000,R01A,.
3/21/2000,002C,.
3/21/2000,004B,.
3/21/2000,020B,.
3/21/2000,HQ,0.70
3/21/2000,HQ02,0.90
3/21/2000,K01B,.
3/21/2000,N01B,.
3/21/2000,N02B,.
3/21/2000,N4DF,.
3/21/2000,N4DU,.
3/21/2000,R01A,.
3/22/2000,002C,.
3/22/2000,004B,.
3/22/2000,020B,.
3/22/2000,HQ,0.30
3/22/2000,HQ02,0.30
3/22/2000,K01B,.
3/22/2000,N01B,.
3/22/2000,N02B,.
3/22/2000,N4DF,.
3/22/2000,N4DU,.
3/22/2000,R01A,.
3/23/2000,002C,.
3/23/2000,004B,.
3/23/2000,020B,.
3/23/2000,HQ,10.20
3/23/2000,HQ02,10.20
3/23/2000,K01B,.
3/23/2000,N01B,.
3/23/2000,N02B,.
3/23/2000,N4DF,.
3/23/2000,N4DU,.
3/23/2000,R01A,.
3/28/2000,002C,0.80
3/28/2000,004B,0.30
3/28/2000,020B,0.70
3/28/2000,HQ,0.40
3/28/2000,HQ02,0.60
3/28/2000,K01B,.
3/28/2000,N01B,0.40
3/28/2000,N02B,0.40
3/28/2000,N4DF,0.30
3/28/2000,N4DU,0.30
3/28/2000,R01A,0.20
3/30/2000,002C,11.50
3/30/2000,004B,6.40
3/30/2000,020B,13.80
3/30/2000,HQ,7.60
3/30/2000,HQ02,7.20
3/30/2000,K01B,.
3/30/2000,N01B,7.00
3/30/2000,N02B,5.10
3/30/2000,N4DF,6.60
3/30/2000,N4DU,7.20
3/30/2000,R01A,5.00
4/1/2000,002C,2.10
4/1/2000,004B,2.80
4/1/2000,020B,1.00
4/1/2000,HQ,1.20
4/1/2000,HQ02,1.40
4/1/2000,K01B,.
4/1/2000,N01B,3.00
4/1/2000,N02B,3.90
4/1/2000,N4DF,3.80
4/1/2000,N4DU,2.40
4/1/2000,R01A,1.60
4/2/2000,002C,0.80
4/2/2000,004B,0.20
4/2/2000,020B,0.40
4/2/2000,HQ,0.30
4/2/2000,HQ02,0.30
4/2/2000,K01B,.
4/2/2000,N01B,0.60
4/2/2000,N02B,0.20
4/2/2000,N4DF,0.40
4/2/2000,N4DU,0.40
4/2/2000,R01A,0.50
4/14/2000,002C,0.00
4/14/2000,004B,0.00
4/14/2000,020B,0.00
4/14/2000,HQ,0.20
4/14/2000,HQ02,0.00
4/14/2000,K01B,0.00
4/14/2000,N01B,0.00
4/14/2000,N02B,0.00
4/14/2000,N4DF,0.00
4/14/2000,N4DU,0.00
4/14/2000,R01A,0.00
4/15/2000,002C,22.30
4/15/2000,004B,23.70
4/15/2000,020B,23.80
4/15/2000,HQ,23.70
4/15/2000,HQ02,24.20
4/15/2000,K01B,17.10
4/15/2000,N01B,16.70
4/15/2000,N02B,.
4/15/2000,N4DF,20.30
4/15/2000,N4DU,23.10
4/15/2000,R01A,20.50
4/20/2000,002C,2.00
4/20/2000,004B,1.40
4/20/2000,020B,.
4/20/2000,HQ,1.40
4/20/2000,HQ02,1.50
4/20/2000,K01B,1.80
4/20/2000,N01B,1.90
4/20/2000,N02B,1.00
4/20/2000,N4DF,1.70
4/20/2000,N4DU,1.30
4/20/2000,R01A,0.40
4/23/2000,002C,14.00
4/23/2000,004B,12.10
4/23/2000,020B,14.80
4/23/2000,HQ,10.90
4/23/2000,HQ02,10.90
4/23/2000,K01B,12.00
4/23/2000,N01B,12.10
4/23/2000,N02B,10.10
4/23/2000,N4DF,11.10
4/23/2000,N4DU,13.10
4/23/2000,R01A,8.00
4/25/2000,002C,1.30
4/25/2000,004B,0.70
4/25/2000,020B,.
4/25/2000,HQ,0.90
4/25/2000,HQ02,1.20
4/25/2000,K01B,0.90
4/25/2000,N01B,1.10
4/25/2000,N02B,.
4/25/2000,N4DF,0.80
4/25/2000,N4DU,.
4/25/2000,R01A,0.30
4/26/2000,002C,2.10
4/26/2000,004B,0.00
4/26/2000,020B,0.00
4/26/2000,HQ,0.00
4/26/2000,HQ02,0.00
4/26/2000,K01B,0.00
4/26/2000,N01B,0.00
4/26/2000,N02B,0.00
4/26/2000,N4DF,0.00
4/26/2000,N4DU,0.00
4/26/2000,R01A,0.00
4/30/2000,002C,12.90
4/30/2000,004B,8.90
4/30/2000,020B,.
4/30/2000,HQ,11.50
4/30/2000,HQ02,11.80
4/30/2000,K01B,9.10
4/30/2000,N01B,9.20
4/30/2000,N02B,7.10
4/30/2000,N4DF,8.50
4/30/2000,N4DU,9.60
4/30/2000,R01A,7.30
5/1/2000,002C,1.20
5/1/2000,004B,1.10
5/1/2000,020B,.
5/1/2000,HQ,1.30
5/1/2000,HQ02,1.20
5/1/2000,K01B,0.90
5/1/2000,N01B,0.70
5/1/2000,N02B,0.90
5/1/2000,N4DF,0.60
5/1/2000,N4DU,1.00
5/1/2000,R01A,2.10
5/2/2000,002C,0.10
5/2/2000,004B,0.00
5/2/2000,020B,0.00
5/2/2000,HQ,0.20
5/2/2000,HQ02,0.00
5/2/2000,K01B,0.00
5/2/2000,N01B,0.00
5/2/2000,N02B,0.00
5/2/2000,N4DF,0.00
5/2/2000,N4DU,0.00
5/2/2000,R01A,0.00
5/8/2000,002C,0.40
5/8/2000,004B,0.00
5/8/2000,020B,0.30
5/8/2000,HQ,0.30
5/8/2000,HQ02,0.40
5/8/2000,K01B,0.30
5/8/2000,N01B,0.40
5/8/2000,N02B,0.00
5/8/2000,N4DF,0.30
5/8/2000,N4DU,0.20
5/8/2000,R01A,0.00
5/9/2000,002C,3.10
5/9/2000,004B,2.50
5/9/2000,020B,3.90
5/9/2000,HQ,2.40
5/9/2000,HQ02,2.40
5/9/2000,K01B,2.90
5/9/2000,N01B,2.90
5/9/2000,N02B,0.00
5/9/2000,N4DF,3.10
5/9/2000,N4DU,3.60
5/9/2000,R01A,0.90
5/17/2000,002C,0.50
5/17/2000,004B,0.30
5/17/2000,020B,.
5/17/2000,HQ,0.30
5/17/2000,HQ02,0.20
5/17/2000,K01B,0.10
5/17/2000,N01B,0.20
5/17/2000,N02B,0.20
5/17/2000,N4DF,0.10
5/17/2000,N4DU,0.10
5/17/2000,R01A,0.20
5/20/2000,002C,2.50
5/20/2000,004B,1.00
5/20/2000,020B,.
5/20/2000,HQ,1.00
5/20/2000,HQ02,0.80
5/20/2000,K01B,1.00
5/20/2000,N01B,1.10
5/20/2000,N02B,0.40
5/20/2000,N4DF,1.40
5/20/2000,N4DU,1.20
5/20/2000,R01A,0.50
5/24/2000,002C,1.90
5/24/2000,004B,1.80
5/24/2000,020B,1.50
5/24/2000,HQ,4.00
5/24/2000,HQ02,3.10
5/24/2000,K01B,2.40
5/24/2000,N01B,1.90
5/24/2000,N02B,0.50
5/24/2000,N4DF,1.80
5/24/2000,N4DU,1.60
5/24/2000,R01A,0.50
5/26/2000,002C,41.70
5/26/2000,004B,32.70
5/26/2000,020B,40.00
5/26/2000,HQ,28.00
5/26/2000,HQ02,28.10
5/26/2000,K01B,30.10
5/26/2000,N01B,29.50
5/26/2000,N02B,27.90
5/26/2000,N4DF,31.50
5/26/2000,N4DU,33.70
5/26/2000,R01A,32.30
5/27/2000,002C,2.40
5/27/2000,004B,1.90
5/27/2000,020B,2.90
5/27/2000,HQ,2.20
5/27/2000,HQ02,2.30
5/27/2000,K01B,2.10
5/27/2000,N01B,1.80
5/27/2000,N02B,2.10
5/27/2000,N4DF,2.80
5/27/2000,N4DU,2.60
5/27/2000,R01A,2.50
6/1/2000,002C,66.20
6/1/2000,004B,57.90
6/1/2000,020B,76.60
6/1/2000,HQ,47.20
6/1/2000,HQ02,47.20
6/1/2000,K01B,50.00
6/1/2000,N01B,53.70
6/1/2000,N02B,55.60
6/1/2000,N4DF,62.00
6/1/2000,N4DU,59.90
6/1/2000,R01A,69.00
6/2/2000,002C,.
6/2/2000,004B,2.40
6/2/2000,020B,2.20
6/2/2000,HQ,0.80
6/2/2000,HQ02,1.40
6/2/2000,K01B,1.30
6/2/2000,N01B,1.70
6/2/2000,N02B,2.10
6/2/2000,N4DF,2.00
6/2/2000,N4DU,3.10
6/2/2000,R01A,2.10
6/11/2000,002C,4.90
6/11/2000,004B,4.10
6/11/2000,020B,4.90
6/11/2000,HQ,2.00
6/11/2000,HQ02,2.00
6/11/2000,K01B,3.00
6/11/2000,N01B,4.50
6/11/2000,N02B,2.80
6/11/2000,N4DF,3.00
6/11/2000,N4DU,7.80
6/11/2000,R01A,0.50
6/13/2000,002C,43.00
6/13/2000,004B,32.10
6/13/2000,020B,46.70
6/13/2000,HQ,25.50
6/13/2000,HQ02,25.90
6/13/2000,K01B,36.50
6/13/2000,N01B,32.50
6/13/2000,N02B,25.00
6/13/2000,N4DF,31.60
6/13/2000,N4DU,36.80
6/13/2000,R01A,32.00
6/14/2000,002C,0.80
6/14/2000,004B,0.30
6/14/2000,020B,0.50
6/14/2000,HQ,0.50
6/14/2000,HQ02,0.30
6/14/2000,K01B,0.40
6/14/2000,N01B,0.50
6/14/2000,N02B,2.00
6/14/2000,N4DF,0.40
6/14/2000,N4DU,0.20
6/14/2000,R01A,0.80
6/16/2000,002C,0.00
6/16/2000,004B,0.00
6/16/2000,020B,0.00
6/16/2000,HQ,0.30
6/16/2000,HQ02,0.10
6/16/2000,K01B,0.00
6/16/2000,N01B,0.00
6/16/2000,N02B,0.00
6/16/2000,N4DF,0.00
6/16/2000,N4DU,0.00
6/16/2000,R01A,0.20
6/20/2000,002C,48.70
6/20/2000,004B,53.70
6/20/2000,020B,55.40
6/20/2000,HQ,58.70
6/20/2000,HQ02,60.80
6/20/2000,K01B,55.60
6/20/2000,N01B,57.00
6/20/2000,N02B,.
6/20/2000,N4DF,53.30
6/20/2000,N4DU,53.60
6/20/2000,R01A,42.60
6/23/2000,002C,1.40
6/23/2000,004B,0.00
6/23/2000,020B,0.00
6/23/2000,HQ,0.80
6/23/2000,HQ02,1.40
6/23/2000,K01B,.
6/23/2000,N01B,0.00
6/23/2000,N02B,0.00
6/23/2000,N4DF,0.00
6/23/2000,N4DU,.
6/23/2000,R01A,0.30
6/24/2000,002C,21.70
6/24/2000,004B,26.90
6/24/2000,020B,27.30
6/24/2000,HQ,19.80
6/24/2000,HQ02,21.70
6/24/2000,K01B,17.60
6/24/2000,N01B,23.80
6/24/2000,N02B,25.50
6/24/2000,N4DF,23.50
6/24/2000,N4DU,28.60
6/24/2000,R01A,22.50
6/25/2000,002C,20.00
6/25/2000,004B,19.60
6/25/2000,020B,22.50
6/25/2000,HQ,18.60
6/25/2000,HQ02,19.50
6/25/2000,K01B,20.00
6/25/2000,N01B,21.90
6/25/2000,N02B,20.90
6/25/2000,N4DF,21.40
6/25/2000,N4DU,17.90
6/25/2000,R01A,17.30
6/26/2000,002C,2.80
6/26/2000,004B,1.60
6/26/2000,020B,3.40
6/26/2000,HQ,1.20
6/26/2000,HQ02,1.30
6/26/2000,K01B,0.00
6/26/2000,N01B,2.00
6/26/2000,N02B,2.20
6/26/2000,N4DF,1.80
6/26/2000,N4DU,0.00
6/26/2000,R01A,1.70
6/27/2000,002C,2.10
6/27/2000,004B,2.10
6/27/2000,020B,2.70
6/27/2000,HQ,2.20
6/27/2000,HQ02,1.70
6/27/2000,K01B,0.00
6/27/2000,N01B,1.80
6/27/2000,N02B,0.00
6/27/2000,N4DF,2.30
6/27/2000,N4DU,2.90
6/27/2000,R01A,0.80
6/29/2000,002C,4.10
6/29/2000,004B,2.00
6/29/2000,020B,3.90
6/29/2000,HQ,2.60
6/29/2000,HQ02,2.20
6/29/2000,K01B,2.20
6/29/2000,N01B,2.60
6/29/2000,N02B,2.00
6/29/2000,N4DF,2.30
6/29/2000,N4DU,3.00
6/29/2000,R01A,0.80
6/30/2000,002C,0.20
6/30/2000,004B,0.20
6/30/2000,020B,0.10
6/30/2000,HQ,0.20
6/30/2000,HQ02,0.10
6/30/2000,K01B,0.00
6/30/2000,N01B,0.00
6/30/2000,N02B,0.00
6/30/2000,N4DF,0.10
6/30/2000,N4DU,0.00
6/30/2000,R01A,0.10
7/3/2000,002C,0.10
7/3/2000,004B,0.00
7/3/2000,020B,0.00
7/3/2000,HQ,0.20
7/3/2000,HQ02,0.40
7/3/2000,K01B,0.00
7/3/2000,N01B,0.00
7/3/2000,N02B,0.00
7/3/2000,N4DF,0.00
7/3/2000,N4DU,0.00
7/3/2000,R01A,0.30
7/4/2000,002C,36.70
7/4/2000,004B,27.80
7/4/2000,020B,41.70
7/4/2000,HQ,38.40
7/4/2000,HQ02,39.70
7/4/2000,K01B,42.50
7/4/2000,N01B,44.00
7/4/2000,N02B,35.10
7/4/2000,N4DF,35.00
7/4/2000,N4DU,34.10
7/4/2000,R01A,19.70
7/16/2000,002C,2.90
7/16/2000,004B,3.00
7/16/2000,020B,3.10
7/16/2000,HQ,7.20
7/16/2000,HQ02,7.20
7/16/2000,K01B,2.50
7/16/2000,N01B,3.60
7/16/2000,N02B,2.20
7/16/2000,N4DF,3.00
7/16/2000,N4DU,3.40
7/16/2000,R01A,0.90
7/18/2000,002C,1.00
7/18/2000,004B,1.10
7/18/2000,020B,1.20
7/18/2000,HQ,1.70
7/18/2000,HQ02,2.50
7/18/2000,K01B,1.20
7/18/2000,N01B,1.30
7/18/2000,N02B,2.90
7/18/2000,N4DF,1.80
7/18/2000,N4DU,1.80
7/18/2000,R01A,0.60
7/19/2000,002C,0.60
7/19/2000,004B,0.20
7/19/2000,020B,0.60
7/19/2000,HQ,0.20
7/19/2000,HQ02,0.20
7/19/2000,K01B,0.20
7/19/2000,N01B,.
7/19/2000,N02B,0.30
7/19/2000,N4DF,0.20
7/19/2000,N4DU,.
7/19/2000,R01A,0.20
7/25/2000,002C,0.90
7/25/2000,004B,0.30
7/25/2000,020B,0.70
7/25/2000,HQ,0.80
7/25/2000,HQ02,0.80
7/25/2000,K01B,0.50
7/25/2000,N01B,0.60
7/25/2000,N02B,0.80
7/25/2000,N4DF,0.00
7/25/2000,N4DU,.
7/25/2000,R01A,0.20
7/27/2000,002C,50.70
7/27/2000,004B,40.60
7/27/2000,020B,57.00
7/27/2000,HQ,4.40
7/27/2000,HQ02,4.00
7/27/2000,K01B,16.30
7/27/2000,N01B,24.50
7/27/2000,N02B,41.50
7/27/2000,N4DF,37.40
7/27/2000,N4DU,.
7/27/2000,R01A,2.10
7/28/2000,002C,14.80
7/28/2000,004B,14.90
7/28/2000,020B,17.10
7/28/2000,HQ,12.30
7/28/2000,HQ02,11.90
7/28/2000,K01B,16.80
7/28/2000,N01B,18.50
7/28/2000,N02B,16.70
7/28/2000,N4DF,17.00
7/28/2000,N4DU,.
7/28/2000,R01A,11.00
8/6/2000,002C,0.10
8/6/2000,004B,0.20
8/6/2000,020B,0.20
8/6/2000,HQ,0.20
8/6/2000,HQ02,0.20
8/6/2000,K01B,0.20
8/6/2000,N01B,0.20
8/6/2000,N02B,0.10
8/6/2000,N4DF,0.20
8/6/2000,N4DU,.
8/6/2000,R01A,0.20
8/7/2000,002C,9.00
8/7/2000,004B,12.30
8/7/2000,020B,10.60
8/7/2000,HQ,11.30
8/7/2000,HQ02,12.40
8/7/2000,K01B,8.00
8/7/2000,N01B,10.10
8/7/2000,N02B,11.40
8/7/2000,N4DF,12.50
8/7/2000,N4DU,.
8/7/2000,R01A,7.70
8/13/2000,002C,0.40
8/13/2000,004B,2.20
8/13/2000,020B,2.60
8/13/2000,HQ,3.20
8/13/2000,HQ02,2.20
8/13/2000,K01B,0.50
8/13/2000,N01B,0.50
8/13/2000,N02B,1.20
8/13/2000,N4DF,1.00
8/13/2000,N4DU,.
8/13/2000,R01A,0.20
8/14/2000,002C,9.00
8/14/2000,004B,7.90
8/14/2000,020B,7.60
8/14/2000,HQ,3.00
8/14/2000,HQ02,3.20
8/14/2000,K01B,4.90
8/14/2000,N01B,4.60
8/14/2000,N02B,6.20
8/14/2000,N4DF,7.90
8/14/2000,N4DU,.
8/14/2000,R01A,14.90
8/19/2000,002C,2.00
8/19/2000,004B,0.80
8/19/2000,020B,0.90
8/19/2000,HQ,3.50
8/19/2000,HQ02,2.70
8/19/2000,K01B,1.30
8/19/2000,N01B,2.10
8/19/2000,N02B,1.30
8/19/2000,N4DF,2.00
8/19/2000,N4DU,.
8/19/2000,R01A,0.20
8/20/2000,002C,1.30
8/20/2000,004B,1.80
8/20/2000,020B,1.50
8/20/2000,HQ,1.80
8/20/2000,HQ02,2.00
8/20/2000,K01B,1.50
8/20/2000,N01B,1.40
8/20/2000,N02B,1.50
8/20/2000,N4DF,2.50
8/20/2000,N4DU,.
8/20/2000,R01A,1.00
8/25/2000,002C,0.70
8/25/2000,004B,0.00
8/25/2000,020B,0.50
8/25/2000,HQ,2.20
8/25/2000,HQ02,1.90
8/25/2000,K01B,1.50
8/25/2000,N01B,1.60
8/25/2000,N02B,0.50
8/25/2000,N4DF,1.70
8/25/2000,N4DU,.
8/25/2000,R01A,0.30
8/26/2000,002C,1.40
8/26/2000,004B,0.80
8/26/2000,020B,0.50
8/26/2000,HQ,2.00
8/26/2000,HQ02,1.30
8/26/2000,K01B,0.50
8/26/2000,N01B,0.30
8/26/2000,N02B,0.50
8/26/2000,N4DF,1.00
8/26/2000,N4DU,.
8/26/2000,R01A,0.30
9/3/2000,002C,1.20
9/3/2000,004B,0.30
9/3/2000,020B,0.80
9/3/2000,HQ,1.80
9/3/2000,HQ02,1.40
9/3/2000,K01B,0.00
9/3/2000,N01B,0.50
9/3/2000,N02B,0.40
9/3/2000,N4DF,0.00
9/3/2000,N4DU,.
9/3/2000,R01A,0.50
9/5/2000,002C,16.20
9/5/2000,004B,13.10
9/5/2000,020B,29.60
9/5/2000,HQ,17.10
9/5/2000,HQ02,17.00
9/5/2000,K01B,16.60
9/5/2000,N01B,28.00
9/5/2000,N02B,21.80
9/5/2000,N4DF,23.50
9/5/2000,N4DU,.
9/5/2000,R01A,1.00
9/10/2000,002C,2.80
9/10/2000,004B,2.90
9/10/2000,020B,3.90
9/10/2000,HQ,0.20
9/10/2000,HQ02,0.20
9/10/2000,K01B,1.90
9/10/2000,N01B,1.90
9/10/2000,N02B,0.80
9/10/2000,N4DF,1.50
9/10/2000,N4DU,.
9/10/2000,R01A,0.50
9/19/2000,002C,0.10
9/19/2000,004B,0.20
9/19/2000,020B,0.10
9/19/2000,HQ,0.20
9/19/2000,HQ02,0.20
9/19/2000,K01B,0.00
9/19/2000,N01B,0.00
9/19/2000,N02B,0.80
9/19/2000,N4DF,.
9/19/2000,N4DU,.
9/19/2000,R01A,0.80
9/20/2000,002C,2.80
9/20/2000,004B,2.20
9/20/2000,020B,2.60
9/20/2000,HQ,2.80
9/20/2000,HQ02,2.20
9/20/2000,K01B,2.20
9/20/2000,N01B,2.20
9/20/2000,N02B,1.50
9/20/2000,N4DF,.
9/20/2000,N4DU,.
9/20/2000,R01A,1.60
9/23/2000,002C,7.90
9/23/2000,004B,7.30
9/23/2000,020B,13.00
9/23/2000,HQ,7.20
9/23/2000,HQ02,7.50
9/23/2000,K01B,6.90
9/23/2000,N01B,7.00
9/23/2000,N02B,5.30
9/23/2000,N4DF,.
9/23/2000,N4DU,.
9/23/2000,R01A,5.10
9/24/2000,002C,12.10
9/24/2000,004B,11.00
9/24/2000,020B,17.00
9/24/2000,HQ,9.30
9/24/2000,HQ02,10.00
9/24/2000,K01B,10.80
9/24/2000,N01B,10.00
9/24/2000,N02B,9.70
9/24/2000,N4DF,.
9/24/2000,N4DU,.
9/24/2000,R01A,10.10
9/25/2000,002C,1.40
9/25/2000,004B,0.40
9/25/2000,020B,0.30
9/25/2000,HQ,0.50
9/25/2000,HQ02,0.20
9/25/2000,K01B,0.20
9/25/2000,N01B,0.30
9/25/2000,N02B,0.50
9/25/2000,N4DF,.
9/25/2000,N4DU,.
9/25/2000,R01A,0.50
10/4/2000,002C,4.00
10/4/2000,004B,2.50
10/4/2000,020B,4.10
10/4/2000,HQ,4.40
10/4/2000,HQ02,4.00
10/4/2000,K01B,2.60
10/4/2000,N01B,3.10
10/4/2000,N02B,1.00
10/4/2000,N4DF,2.00
10/4/2000,N4DU,.
10/4/2000,R01A,1.00
10/5/2000,002C,10.80
10/5/2000,004B,11.70
10/5/2000,020B,13.10
10/5/2000,HQ,13.50
10/5/2000,HQ02,13.10
10/5/2000,K01B,13.70
10/5/2000,N01B,12.50
10/5/2000,N02B,12.00
10/5/2000,N4DF,12.20
10/5/2000,N4DU,.
10/5/2000,R01A,7.80
10/13/2000,002C,0.60
10/13/2000,004B,0.40
10/13/2000,020B,0.30
10/13/2000,HQ,0.40
10/13/2000,HQ02,0.20
10/13/2000,K01B,0.20
10/13/2000,N01B,0.00
10/13/2000,N02B,0.30
10/13/2000,N4DF,0.20
10/13/2000,N4DU,.
10/13/2000,R01A,0.20
10/22/2000,002C,10.60
10/22/2000,004B,9.50
10/22/2000,020B,14.60
10/22/2000,HQ,10.10
10/22/2000,HQ02,9.00
10/22/2000,K01B,9.10
10/22/2000,N01B,10.10
10/22/2000,N02B,6.30
10/22/2000,N4DF,9.80
10/22/2000,N4DU,.
10/22/2000,R01A,8.00
10/25/2000,002C,19.50
10/25/2000,004B,16.30
10/25/2000,020B,24.60
10/25/2000,HQ,17.10
10/25/2000,HQ02,16.90
10/25/2000,K01B,18.70
10/25/2000,N01B,19.10
10/25/2000,N02B,13.20
10/25/2000,N4DF,16.70
10/25/2000,N4DU,.
10/25/2000,R01A,13.30
10/28/2000,002C,3.40
10/28/2000,004B,3.10
10/28/2000,020B,2.80
10/28/2000,HQ,7.90
10/28/2000,HQ02,8.00
10/28/2000,K01B,3.00
10/28/2000,N01B,2.20
10/28/2000,N02B,3.60
10/28/2000,N4DF,3.90
10/28/2000,N4DU,.
10/28/2000,R01A,5.90
10/29/2000,002C,3.40
10/29/2000,004B,4.70
10/29/2000,020B,6.30
10/29/2000,HQ,4.80
10/29/2000,HQ02,4.80
10/29/2000,K01B,2.80
10/29/2000,N01B,3.10
10/29/2000,N02B,4.00
10/29/2000,N4DF,3.90
10/29/2000,N4DU,.
10/29/2000,R01A,4.20
11/1/2000,002C,15.80
11/1/2000,004B,18.00
11/1/2000,020B,23.10
11/1/2000,HQ,23.70
11/1/2000,HQ02,20.00
11/1/2000,K01B,17.50
11/1/2000,N01B,16.90
11/1/2000,N02B,11.10
11/1/2000,N4DF,18.40
11/1/2000,N4DU,.
11/1/2000,R01A,20.00
11/5/2000,002C,.
11/5/2000,004B,.
11/5/2000,020B,.
11/5/2000,HQ,2.30
11/5/2000,HQ02,2.70
11/5/2000,K01B,.
11/5/2000,N01B,.
11/5/2000,N02B,.
11/5/2000,N4DF,.
11/5/2000,N4DU,.
11/5/2000,R01A,.
11/6/2000,002C,.
11/6/2000,004B,.
11/6/2000,020B,.
11/6/2000,HQ,16.50
11/6/2000,HQ02,17.40
11/6/2000,K01B,.
